AÑO,MES,DIA,CARBON,NUCLEAR,HIDRAULICA,CICLOCOMBINADO,EOLICA,SOLARTERMICA,SOLARFOTO,COGENERACION,IMPORTACION
2022,AGOSTO,06,19560,165205.6,39591.6,234392.8,181022,24501.2,120401.3,71482.3,0
2022,AGOSTO,07,25902.4,165132.6,41035.7,235827.3,131190.9,25320.1,119777.3,69978.8,545.1
2022,AGOSTO,08,30120,165403.6,34442.1,338554.2,114423.6,24196.8,117033.4,76422.9,0
2022,AGOSTO,09,30120,164917.6,37873.3,345238.4,129135.9,24066.5,111261.8,74344.8,0
2022,AGOSTO,10,30600,164775,41752,357103.4,119679.7,19247.5,101992,73212.6,0
2022,AGOSTO,11,30600,164853.4,56415.6,335827.2,104357.5,22194.8,113412.2,72907.9,0
2022,AGOSTO,12,30600,164934.6,67634.6,340906.1,82734.2,19881,112374.4,74896.5,0
2022,AGOSTO,13,30600,165268.6,41772.7,277372.4,154644.5,8922.3,72432.2,70442,0
2022,AGOSTO,14,30360,165261,47880.6,198192.4,155628.4,20051.7,117728.7,67343.7,0
2022,AGOSTO,15,30360,165300.6,46418.4,176201,167685.3,19844.9,122631.9,68663.7,0
2022,AGOSTO,16,30360,165184,39794.4,183843,231917.7,24213.8,115544.9,71036.5,0
2022,AGOSTO,17,30120,165104,41093,173694.5,215189.6,25058.5,117782.8,71233.2,0
2022,AGOSTO,18,30120,165726.4,48270.3,104370.9,246743,24764.7,122841.9,70058.6,0
2022,AGOSTO,19,30120,166382.2,60740.4,124380.2,205020.5,24118.3,123933.9,71588,0
2022,AGOSTO,20,30120,166813.9,74788.4,184166.3,112199.4,25983,123084.6,70666.6,0
2022,AGOSTO,21,30000,166676.1,52886,128558.8,163489.3,25702.3,120655.2,68415,0
2022,AGOSTO,22,30120,166419,59371.8,138008.5,216203.1,26092.3,120731.3,73488,0
2022,AGOSTO,23,30120,166111.5,53501.8,264615.2,147107,24452.6,113433.5,74958.2,0
2022,AGOSTO,24,28440,165951,51927.7,336607.8,105881.4,22715.9,104509.4,71293.1,0
2022,AGOSTO,25,28440,165435.2,30865.1,299250.6,163915.8,23988.4,110137,72165.8,0
2022,AGOSTO,26,28440,165499.6,49637,180420,241668.8,22290.5,110332.3,71817.5,0
2022,AGOSTO,27,28440,165489.6,38542.4,251902.6,136591,21266.9,111087.3,72163.4,0
2022,AGOSTO,28,21240,165451.2,44897.8,237316.9,118940,19934.9,104833.9,71713.9,0
2022,AGOSTO,29,21240,165748.6,50294.3,317150,125960.2,16267.5,94412.3,71766.2,0
2022,AGOSTO,30,17220,165753.6,63041.4,374577.5,75044.3,17946.6,103468.5,71351.5,0
2022,AGOSTO,31,12360,164997.2,37428.7,397045.5,99595.1,19848.5,109930.2,71618.9,0
2022,SEPTIEMBRE,01,17700,164793.6,38522,402389.4,89323.5,15894.9,101623.7,71315.7,0
2022,SEPTIEMBRE,02,19577,164891.8,24620.2,391456.5,122470,17906.2,101582.7,70084.4,0
2022,SEPTIEMBRE,03,12720,165025.4,35263.7,271810.6,140540.3,18370.8,112756.1,66315.1,0
2022,SEPTIEMBRE,04,12720,165063.6,52490.2,144944.6,194052.9,21637.9,120248.5,65637.2,0
2022,SEPTIEMBRE,05,23520,165138,50527,217763.9,205590.6,22759.5,116136.8,69084.1,0
2022,SEPTIEMBRE,06,24120,165746.8,37562.3,283561.2,186371.4,20795.5,112279.7,68442.2,0
2022,SEPTIEMBRE,07,22822.2,165720.8,26867,317535.7,185916.6,18724.1,106298.8,67199.7,0
2022,SEPTIEMBRE,08,24336,165938.2,58653.7,343094.3,116179.6,14903.2,92745.1,61522.1,0
2022,SEPTIEMBRE,09,23468.9,166048.4,75974,349261.1,74885,21418.5,111839.8,65965.7,0
2022,SEPTIEMBRE,10,23472,166343.4,72393,290181.4,52116.4,22108.5,114744.5,64154,0
2022,SEPTIEMBRE,11,23880,166177.2,43753.8,229099.5,123385,18176,103896.5,66520.2,0
2022,SEPTIEMBRE,12,23160,165975.4,32887.2,292153,250901.9,6166.1,54791.7,64253.3,0
2022,SEPTIEMBRE,13,23400,165796.7,41034.8,223997.2,342416.1,918.2,53132.1,65993.8,0
2022,SEPTIEMBRE,14,23160,165681.8,53135.9,318987.2,184982.8,3574.5,74734.6,70029.1,0
2022,SEPTIEMBRE,15,23160,165607.8,73201.7,378691.2,72284.4,3933,81347.1,69926.9,0
2022,SEPTIEMBRE,16,22320,166099.4,111053.9,207380,164556.1,12488.9,103636,69564.1,0
2022,SEPTIEMBRE,17,20980.6,159201.2,51782,192844.2,215589.2,18467.5,105943,65327.9,0
2022,SEPTIEMBRE,18,19390.7,166073.4,67788.4,155377.1,154042.9,10243.3,91206.3,63545.1,0
2022,SEPTIEMBRE,19,22320,166281.4,104568.3,266722.7,107909.7,12687.5,90017.1,67357.7,0
2022,SEPTIEMBRE,20,28080,166454.2,80996.7,302827.9,106131.4,13197.4,99170.5,69959.3,0
2022,SEPTIEMBRE,21,26880,165827.8,85586.6,306044.3,109056.5,7830.1,88754.9,68913.3,0
2022,SEPTIEMBRE,22,26880,165573.1,116883.2,290793.4,56058.4,14690.8,98096.8,70139.1,0
